2024-04-07 16:20:30,364 -     INFO: Program wurde mit Fehlern generiert:The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.
2024-04-07 16:20:47,854 -     INFO: Program wurde mit Fehlern generiert:The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.
2024-04-07 16:22:35,983 -     INFO: Program wurde mit Fehlern generiert:The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.
2024-04-07 16:23:00,970 -     INFO: Program wurde mit Fehlern generiert:The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.
2024-04-07 16:23:18,840 -     INFO: Program wurde mit Fehlern generiert:The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.
2024-04-07 16:23:35,855 -     INFO: Program wurde mit Fehlern generiert:The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.
2024-04-07 16:43:12,597 -     INFO: Program wurde mit Fehlern generiert:The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.The value of the Event 'SignalTrigger' needs to be Boolean, like True/False.
2024-04-07 16:44:18,398 -     INFO: Program wurde erfolgreich generiert
2024-04-07 16:45:06,181 -     INFO: Program wurde erfolgreich generiert
2024-04-07 16:45:25,357 -     INFO: Program wurde erfolgreich generiert
2024-04-07 16:45:42,730 -     INFO: Program wurde erfolgreich generiert
2024-04-07 16:46:27,909 -     INFO: Program wurde erfolgreich generiert
2024-04-07 16:46:37,086 -     INFO: Program wurde erfolgreich generiert
